City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,Nuevo Progreso,MX,90.0,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
613,Yaan,NG,83.34,overcast clouds,7.3833,8.5667,
615,Dubai,AE,87.8,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
620,College Place,US,82.0,clear sky,46.0493,-118.3883,Holiday Inn Express Walla Walla
621,Jalingo,NG,82.67,broken clouds,8.8833,11.3667,Debright Motel
623,Tautira,PF,86.0,few clouds,-17.7333,-149.15,Pension Oaoa
625,Bhola,BD,80.76,clear sky,22.6833,90.65,Student Hostel (Shahbaz Khan Hostel)
628,Kano,NG,86.0,clear sky,12.0001,8.5167,Havana Guest Inn
631,Caborca,MX,87.01,clear sky,30.5838,-111.101,Hotel Los Lagos
632,Fort Pierce,US,86.0,few clouds,27.4467,-80.3256,Hutchinson Island Plaza Hotel & Suites
649,San Pedro,PH,82.4,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
650,Tulagi,SB,81.16,broken clouds,-9.0996,160.1476,Raiders Hotel & Dive
651,Acapulco,MX,86.0,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
652,La Aldea,MX,89.01,clear sky,20.9,-101.4833,HOTEL RESTER
656,Mitsamiouli,KM,81.14,few clouds,-11.3847,43.2844,Foyer ADM
660,Keti Bandar,PK,81.14,scattered clouds,24.1447,67.4497,Haji laloo memon house
662,Vaitape,PF,81.46,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
675,Indapur,IN,81.73,overcast clouds,18.3,73.25,Hotel Open Umbrella
