City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Saint-Augustin,CA,51.226,-58.6502,44.08,71,100,1.97,overcast clouds
202,Katsuura,JP,35.1333,140.3,60.8,88,20,1.14,few clouds
203,Neiafu,TO,-18.65,-173.9833,80.6,89,75,2.3,moderate rain
204,Daultala,PK,33.1925,73.1413,80.01,44,72,6.4,broken clouds
205,Abu Samrah,SY,35.3029,37.1841,73.35,38,0,5.37,clear sky
206,Ambon,ID,-3.6954,128.1814,80.64,71,93,3.58,overcast clouds
207,Naze,JP,28.3667,129.4833,63.19,73,0,10.65,clear sky
208,Faya,SA,18.3851,42.4509,62.6,72,40,5.1,scattered clouds
209,Cap Estate,LC,14.0833,-60.95,78.8,83,90,12.66,overcast clouds
210,Peredovaya,RU,44.1172,41.4756,48.06,92,18,3.6,few clouds
211,Christchurch,NZ,-43.5333,172.6333,59.0,93,90,2.3,overcast clouds
212,Tasiilaq,GL,65.6145,-37.6368,32.0,93,75,4.61,broken clouds
213,Banos,EC,-1.4,-78.4167,71.6,68,40,5.75,light rain
214,Aitape,PG,-3.1374,142.3475,78.57,84,95,3.83,overcast clouds
215,Datong,CN,40.0936,113.2914,44.44,32,99,1.97,light rain
216,Prince George,CA,53.9166,-122.753,55.0,82,90,16.11,light rain
217,Broome,US,42.2506,-75.833,64.99,100,90,11.5,moderate rain
218,Saint-Philippe,RE,-21.3585,55.7679,73.4,83,38,5.75,light rain
219,Tumalaytay,PH,12.2758,123.232,77.11,81,85,2.95,overcast clouds
220,Boa Vista,BR,2.8197,-60.6733,84.2,65,75,3.44,light rain
221,Lasa,IT,46.6166,10.7002,55.4,100,75,8.05,mist
222,Minuri,PH,16.535,121.8574,73.06,87,75,2.77,broken clouds
223,Chifeng,CN,42.2683,118.9636,35.74,26,40,4.99,scattered clouds
224,Santiago Do Cacem,PT,38.0169,-8.6948,57.0,68,56,5.01,broken clouds
225,Aleksandrov Gay,RU,50.147,48.5704,46.92,52,4,4.52,clear sky
226,Agua Dulce,MX,18.1333,-94.1333,98.6,34,1,19.57,clear sky
227,Waipawa,NZ,-41.4122,175.5153,59.0,82,20,13.8,few clouds
228,Kyren,RU,51.6828,102.1408,36.01,97,98,1.57,overcast clouds
229,Beyla,GN,8.6833,-8.6333,71.11,93,98,4.43,light rain
230,Fort Nelson,CA,58.8053,-122.7002,46.4,49,75,6.91,broken clouds
231,Dudinka,RU,69.4058,86.1778,26.78,98,99,3.56,overcast clouds
232,Tiksi,RU,71.6872,128.8694,30.22,83,91,8.81,overcast clouds
233,Ternate,ID,0.8,127.4,80.64,76,100,1.86,overcast clouds
234,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,62,20,4.61,few clouds
235,Kurilsk,RU,45.2333,147.8833,38.62,92,100,14.81,overcast clouds
236,Kibala,TD,9.1104,18.3463,89.6,48,0,2.15,clear sky
237,San Carlos De Bariloche,AR,-41.1456,-71.3082,64.0,34,0,6.91,clear sky
238,Zhanaozen,KZ,43.3,52.8,54.3,68,58,7.65,broken clouds
239,Geraldton,AU,-28.7667,114.6,68.0,73,90,16.11,overcast clouds
240,San Juan,AR,-31.5375,-68.5364,81.84,18,0,6.8,clear sky
241,Lavrentiya,RU,65.5833,-171.0,25.32,74,39,3.6,scattered clouds
242,Rodrigues Alves,BR,-7.738,-72.6509,84.2,70,75,9.22,broken clouds
243,Ibra,OM,22.6906,58.5334,79.57,37,97,4.9,overcast clouds
244,Canutama,BR,-6.5339,-64.3831,79.81,85,100,2.8,overcast clouds
245,Vysotskoye,RU,45.025,42.9064,53.6,94,0,2.24,moderate rain
246,Cherskiy,RU,68.75,161.3,21.16,93,100,5.66,light snow
247,Kavaratti,IN,10.5669,72.642,84.0,75,23,6.31,few clouds
248,Maputo,MZ,-25.9653,32.5892,75.2,94,20,10.36,few clouds
249,Yar-Sale,RU,66.8333,70.8333,22.19,95,100,7.81,overcast clouds
250,Jian,CN,27.1172,114.9793,61.75,82,0,4.63,light rain
251,Umm Kaddadah,SD,13.6017,26.6876,86.52,11,73,11.18,broken clouds
252,Rorvik,NO,64.8621,11.2373,33.8,86,40,3.44,scattered clouds
253,Ovalle,CL,-30.5983,-71.2003,69.55,55,5,7.34,clear sky
254,Mahebourg,MU,-20.4081,57.7,77.0,83,75,14.97,light rain
255,Sitka,US,57.0531,-135.33,46.4,93,90,12.66,moderate rain
256,Sinnamary,GF,5.3833,-52.95,76.15,91,100,15.5,overcast clouds
257,Narsaq,GL,60.9167,-46.05,42.8,65,16,6.91,few clouds
258,Ponta Do Sol,PT,32.6667,-17.1,57.99,70,67,1.01,broken clouds
259,Gazanjyk,TM,39.2446,55.5154,64.13,60,1,8.46,clear sky
260,Hervey Bay,AU,-25.2986,152.8535,64.99,95,77,3.0,light rain
261,Atambua,ID,-9.1061,124.8925,71.76,88,72,3.0,broken clouds
262,Port Hedland,AU,-20.3167,118.5667,71.6,60,0,6.91,clear sky
263,Saint-Ambroise,CA,48.5501,-71.3324,68.0,22,2,5.75,clear sky
264,Linhai,CN,28.85,121.1167,63.0,80,0,3.62,clear sky
265,Makakilo City,US,21.3469,-158.0858,80.6,57,90,10.36,overcast clouds
266,Broken Hill,AU,-31.95,141.4333,55.4,47,0,9.22,clear sky
267,Nome,US,64.5011,-165.4064,27.0,68,40,20.71,scattered clouds
268,Chulman,RU,56.8479,124.9104,27.05,97,100,2.1,light snow
269,Coxim,BR,-18.5067,-54.76,83.55,23,81,4.47,broken clouds
270,Les Cayes,HT,18.2,-73.75,83.16,58,6,9.89,clear sky
271,Vanimo,PG,-2.6741,141.3028,77.38,87,100,4.07,overcast clouds
272,Umm Lajj,SA,25.0213,37.2685,85.44,43,67,7.52,broken clouds
273,Meadow Lake,US,34.8014,-106.5436,72.0,24,75,5.75,broken clouds
274,Vardo,NO,70.3705,31.1107,28.4,74,75,12.66,snow
275,College,US,64.8569,-147.8028,48.2,46,75,6.91,broken clouds
276,Jinchang,CN,38.4953,102.1739,58.32,26,4,9.19,clear sky
277,Nokha,IN,27.6,73.4167,85.32,26,93,13.31,overcast clouds
278,Hofn,IS,64.2539,-15.2082,39.72,78,91,5.44,overcast clouds
279,Kondinskoye,RU,59.6481,67.41,37.87,84,75,10.56,broken clouds
280,Port Macquarie,AU,-31.4333,152.9167,55.0,99,9,4.0,clear sky
281,Harare,ZW,-17.8294,31.0539,62.01,77,55,5.99,broken clouds
